date,reserves,interpolated
2008-01-01,53198.76635926455,False
2008-02-01,55916.47107510143,False
2008-03-01,58999.64477402895,False
2008-04-01,59931.11896156572,False
2008-05-01,60623.4786932105,False
2008-06-01,60048.72195578953,False
2008-07-01,60800.3707850826,False
2008-08-01,61667.658226527,False
2008-09-01,62163.91408618,False
2008-10-01,61054.796341193476,False
2008-11-01,58769.6971614645,False
2008-12-01,55675.549641665,False
2009-01-01,52094.41269644059,False
2009-02-01,50664.136876792516,True
2009-03-01,49233.86105714445,True
2009-04-01,47803.58523749638,True
2009-05-01,46373.30941784831,True
2009-06-01,44943.03359820024,True
2009-07-01,43512.75777855217,False
2009-08-01,42793.77210029,False
2009-09-01,41420.372786513,False
2009-10-01,42863.18798329523,False
2009-11-01,42916.70018645789,False
2009-12-01,43229.87521707619,False
2010-01-01,42720.50535271,False
2010-02-01,42151.77862867111,False
2010-03-01,41236.44490349318,False
2010-04-01,40817.974958226,False
2010-05-01,39713.73623596,False
2010-06-01,38039.50892313545,False
2010-07-01,37836.984096164095,False
2010-08-01,37576.207216282724,False
2010-09-01,36286.8350671355,False
2010-10-01,34343.6026590415,False
2010-11-01,33848.664760399,False
2010-12-01,33012.38826904666,False
2011-01-01,33167.138396252005,False
2011-02-01,33991.41590928,False
2011-03-01,34755.973833465454,False
2011-04-01,33756.55173748611,False
2011-05-01,33272.529932218,False
2011-06-01,33002.21513511455,False
2011-07-01,33652.52103369667,False
2011-08-01,34382.58605987714,False
2011-09-01,33574.44819124818,False
2011-10-01,32835.009053574504,False
2011-11-01,32997.7308475885,False
2011-12-01,33032.8823787735,False
2012-01-01,33794.71606151857,False
2012-02-01,34855.0789992595,False
2012-03-01,35008.25413423955,False
2012-04-01,36158.68351153158,False
2012-05-01,37170.22648414238,False
2012-06-01,37345.85748393238,False
2012-07-01,36463.85507791181,False
2012-08-01,37294.42100645524,False
2012-09-01,40477.441789072494,False
2012-10-01,41960.98921204368,False
2012-11-01,43410.95756674048,False
2012-12-01,44477.616852701765,False
2013-01-01,45050.03786174666,False
2013-02-01,46744.39824257181,False
2013-03-01,48184.383896474996,False
2013-04-01,48762.14231596667,False
2013-05-01,48542.297946291495,False
2013-06-01,48387.928086037005,False
2013-07-01,47139.844770701304,False
2013-08-01,46991.4178080215,False
2013-09-01,46236.08152184429,False
2013-10-01,45177.57831064049,False
2013-11-01,44858.46793646143,False
2013-12-01,44235.6550636935,False
2014-01-01,43237.069713740006,False
2014-02-01,41578.953736860494,False
2014-03-01,38552.459144292494,False
2014-04-01,37990.4573802155,False
2014-05-01,37506.121586386005,False
2014-06-01,37058.36875615381,False
2014-07-01,38517.84236461,False
2014-08-01,39544.769447849,False
2014-09-01,39586.553842971814,False
2014-10-01,39278.18864627722,False
2014-11-01,37553.29207130333,False
2014-12-01,35528.2636475181,False
2015-01-01,34456.2907213115,False
2015-02-01,32809.7387921655,False
2015-03-01,30295.99049963905,False
2015-04-01,29553.19485984316,False
2015-05-01,29709.75680275611,False
2015-06-01,29129.805217484092,False
2015-07-01,30271.565560215717,False
2015-08-01,31527.9274585,False
2015-09-01,30766.0474463805,False
2015-10-01,30133.957901148093,False
2015-11-01,30267.71300736762,False
2015-12-01,29480.220375440003,False
2016-01-01,28566.743742167,False
2016-02-01,27878.93045053,False
2016-03-01,27864.45467548,False
2016-04-01,27442.336672629997,False
2016-05-01,26676.562011807502,False
2016-06-01,26406.683856792726,False
2016-07-01,26323.20054594722,False
2016-08-01,25772.73874156696,False
2016-09-01,24911.0695531745,False
2016-10-01,24095.877934259497,False
2016-11-01,24283.668197755,False
2016-12-01,25188.311293793686,False
2017-01-01,27133.353989466366,False
2017-02-01,28959.3335942,False
2017-03-01,30165.84697597826,False
2017-04-01,30538.691731218336,False
2017-05-01,30734.12766706143,False
2017-06-01,30250.623878609505,False
2017-07-01,30503.25621799,False
2017-08-01,31491.07331796815,False
2017-09-01,32028.358729986317,False
2017-10-01,33285.076782681426,False
2017-11-01,34323.539554715004,False
2017-12-01,36925.52984371737,False
2018-01-01,39809.425466266366,False
2018-02-01,41520.783722347,False
2018-03-01,44559.518380907146,False
2018-04-01,47009.9051739935,False
2018-05-01,47733.86006732238,False
2018-06-01,47647.55232616053,False
2018-07-01,47518.188107681366,False
2018-08-01,46443.788861488574,False
2018-09-01,45043.016011015505,False
2018-10-01,42973.40938723546,False
2018-11-01,41769.33964564809,False
2018-12-01,42917.01884534666,False
2019-01-01,43101.37278921091,False
2019-02-01,42750.086564705496,False
2019-03-01,43258.853699231906,False
2019-04-01,44725.8470912655,False
2019-05-01,44976.807946659006,False
2019-06-01,45117.11992451177,False
2019-07-01,45061.738094429085,False
2019-08-01,44286.077836870005,False
2019-09-01,42631.22356040191,False
2019-10-01,41058.72462170318,False
2019-11-01,40042.789377254,False
2019-12-01,39179.182524971,False
2020-01-01,38268.161361776816,False
2020-02-01,37037.7921341619,False
2020-03-01,35920.27270919715,False
2020-04-01,34029.2235578805,False
2020-05-01,35157.296398118335,False
2020-06-01,36369.4664343765,False
2020-07-01,36068.5131550695,False
2020-08-01,35648.86126865047,False
2020-09-01,35757.03589557727,False
2020-10-01,35695.291622746845,False
2020-11-01,35561.10983040474,False
2020-12-01,35061.25447962763,False
2021-01-01,36249.47001712158,False
2021-02-01,35667.9746789095,False
2021-03-01,34683.41178590174,False
2021-04-01,35065.739666238,False
2021-05-01,34452.81879107555,False
2021-06-01,33784.064920108955,False
2021-07-01,33213.73840856389,False
2021-08-01,33577.38411749046,False
2021-09-01,35369.407456473644,False
2021-10-01,39965.97879400942,False
2021-11-01,41484.21047713591,False
2021-12-01,40768.6154445355,False
2022-01-01,40367.0190888555,False
2022-02-01,39870.929676575,False
2022-03-01,39683.14404206087,False
